participant_id	age	sex	hand
sub-002	23.0	F	R
sub-003	19.0	M	R
sub-005	25.0	F	R
sub-006	20.0	M	R
sub-008	21.0	M	R
sub-009	21.0	F	R
sub-010	20.0	F	R
sub-011	19.0	F	R
sub-012	26.0	F	R
sub-013	26.0	M	R
sub-014	25.0	F	R
sub-015	25.0	M	R
sub-016	29.0	F	R
sub-017	20.0	F	R
sub-018	22.0	M	R
sub-019	25.0	F	R
sub-021	26.0	M	R
sub-022	23.0	F	R
sub-023	22.0	F	R
sub-024	21.0	M	R
sub-025	21.0	M	R
sub-026	19.0	F	R
sub-027	23.0	M	R
sub-028	22.0	F	R
sub-029	22.0	M	R
sub-030	21.0	M	R
sub-031	21.0	F	R
sub-032	24.0	F	R
sub-033	24.0	F	R
sub-034	22.0	F	R
sub-035	21.0	F	R
sub-036	19.0	M	R
sub-037	19.0	F	R
sub-038	22.0	M	R
sub-039	22.0	F	R
sub-040	21.0	F	R
sub-041	22.0	M	R
sub-042	24.0	M	R
sub-043	28.0	M	R
sub-044	21.0	M	R
sub-046	23.0	F	R
sub-047	20.0	M	R
sub-048	20.0	F	R
sub-049	22.0	F	R
sub-050	26.0	F	R
sub-051	23.0	M	R
sub-052	20.0	F	R
sub-053	20.0	F	R
sub-055	19.0	F	R
sub-057	25.0	F	R
sub-058	21.0	M	R
sub-059	27.0	M	R
sub-060	27.0	F	R
sub-061	23.0	M	R
sub-062	23.0	M	R
sub-063	24.0	M	R
